### 07:16~07:23 Story_16 三国同盟:Sandplay 失败→Tab3 寻回→徒步→撞怪进战→每 20s 复位失败攒 Exception→用户手动打完(07:21:41)后复位成功→翻页收工
[2026-08-23 07:16:01.188][INF]  [Record] CSB.技能页3-正确
[2026-08-23 07:16:01.871][INF]  [Record] SCB.'探查'技能施放-通过
[2026-08-23 07:16:02.591][INF]  [Record] CSB.施放'吸取'技能,栏位3-2
[2026-08-23 07:16:05.204][INF]  [Record] CSB.'吸取'技能已无法使用(OCR耗尽已在Collect_Skill3_2_Depleted判定)
[2026-08-23 07:16:05.907][INF]  [Record] CSB.施放'召集'技能,栏位3-3
[2026-08-23 07:16:09.185][INF]  [Record] CSB.技能组复位-色核通过
[2026-08-23 07:16:10.236][INF]  [Record] CM.N.箱庭地图内找到传送阵-按钮标
[2026-08-23 07:16:13.452][INF]  [Record] CBB.[WRN]中继特殊结束-不存在右换页
[2026-08-23 07:16:15.446][INF]  [Record] GO.复位到箱庭-开始
[2026-08-23 07:16:16.123][INF]  [Record] G=1.页面非预期，点击返回按钮
[2026-08-23 07:16:20.867][INF]  [Record] GO.复位到箱庭-已确认
[2026-08-23 07:16:22.029][INF]  [Record] GO.调出快速卡带
[2026-08-23 07:16:23.520][INF]  [Record] GO.快速卡带调出成功
[2026-08-23 07:16:24.130][INF]  [Record] QCB.确认快速卡带
[2026-08-23 07:16:24.645][INF]  [Record] CM.卡带内流程结束-执行完成打标记
[2026-08-23 07:16:24.660][INF]  [Record] [Py] 标记更新：Story_15_复仇的誓言@g_weekly
[2026-08-23 07:16:24.662][INF]  [Record] 🟣 >>> [Py] ✅ 批量标记完成：已更新 1 个任务的时间戳 -> 2026-08-23 07:16:24
[2026-08-23 07:16:26.066][INF]  [Record] QBC.[INF]特殊地图.类EP6区域地图到底
[2026-08-23 07:16:26.743][INF]  [Record] QCB.确认快速卡带
[2026-08-23 07:16:27.262][INF]  [Record] CM.卡带内流程结束-执行完成打标记
[2026-08-23 07:16:27.281][INF]  [Record] [Py] 标记更新：Story_15_复仇的誓言@g_weekly
[2026-08-23 07:16:27.281][INF]  [Record] 🟣 >>> [Py] ✅ 批量标记完成：已更新 1 个任务的时间戳 -> 2026-08-23 07:16:27
[2026-08-23 07:16:27.532][INF]  [Record] 🟢 [检查通过] LocPage_SmartSwip（0/1)
[2026-08-23 07:16:27.805][INF]  [Record] CL.M.智能翻页,到第2页.
[2026-08-23 07:16:31.530][INF]  [Record] 🟣 >>> [Py] ✅ 滑动成功（Diff：86.56 > 3.0)
[2026-08-23 07:16:32.050][INF]  [Record] 📊 [数值变更] LocPage_SmartSwip：0 -> 1（变动：+1)
[2026-08-23 07:16:32.303][INF]  [Record] 🔴 [检查拦截] LocPage_SmartSwip（1/1）已达上限
[2026-08-23 07:16:33.264][INF]  [Record] CM.L.当前卡带位置探针存在
[2026-08-23 07:16:39.169][INF]  [Record] CM.L.快速卡带盒定位-位置6
[2026-08-23 07:16:39.196][INF]  [Record] 🧹 [重置完成] 已清零标签：['PackLocation_ToggleSwitch']
[2026-08-23 07:16:39.461][INF]  [Record] 🔴 [检查拦截] LocPage_SmartSwip（1/1）已达上限
[2026-08-23 07:16:39.542][INF]  [Record] 🟢 [检查通过] PackLocation_ToggleSwitch（0/1)
[2026-08-23 07:16:39.610][INF]  [Record] 📊 [数值变更] PackLocation_ToggleSwitch：0 -> 1（变动：+1)
[2026-08-23 07:16:42.348][INF]  [Record] 🔴 [检查拦截] LocPage_SmartSwip（1/1）已达上限
[2026-08-23 07:16:42.428][INF]  [Record] 🔴 [检查拦截] PackLocation_ToggleSwitch（1/1）已达上限
[2026-08-23 07:16:42.783][INF]  [Record] CM.L.快速卡带盒定位-位置7
[2026-08-23 07:16:42.808][INF]  [Record] 🧹 [重置完成] 已清零标签：['PackLocation_ToggleSwitch']
[2026-08-23 07:16:43.071][INF]  [Record] 🔴 [检查拦截] LocPage_SmartSwip（1/1）已达上限
[2026-08-23 07:16:43.155][INF]  [Record] 🟢 [检查通过] PackLocation_ToggleSwitch（0/1)
[2026-08-23 07:16:43.230][INF]  [Record] 📊 [数值变更] PackLocation_ToggleSwitch：0 -> 1（变动：+1)
[2026-08-23 07:16:44.471][INF]  [Record] 🟣 >>> 检查：Story_16_三国同盟 （策略：g_weekly） 
[2026-08-23 07:16:44.831][INF]  [Record] 🟣 >>> [Py] 🔧 已改写 1 个节点（登记还原点 0 个）：['Collect_PackEnd_Ck']
[2026-08-23 07:16:55.775][INF]  [Record] GO.等待卡带or转场载入
[2026-08-23 07:17:01.449][INF]  [Record] CM.N.箱庭模块启动
[2026-08-23 07:17:01.495][INF]  [Record] 🧹 [重置完成] 已清零标签：['LocPage_SmartSwip', 'Tab3_OnFoot']
[2026-08-23 07:17:09.485][INF]  [Record] 🟢 [检查通过] Tab3_OnFoot（0/1)
[2026-08-23 07:17:09.878][INF]  [Record] 📊 [数值变更] Tab3_OnFoot：0 -> 1（变动：+1)
[2026-08-23 07:17:10.892][INF]  [Record] [HSVShapeMatching] [HSV] 命中：Collect_TeleportRecall_Skill_Bin
[2026-08-23 07:17:11.173][INF]  [Record] CRT.传送阵技能已放置
[2026-08-23 07:17:19.827][INF]  [Record] CTOB.徒步前往传送阵
[2026-08-23 07:17:20.393][INF]  [Record] CTOB.打开导航地图
[2026-08-23 07:17:23.346][INF]  [Record] CTOB.确认导航地图界面打开
